StationCode,LandUse,PercentUrbanLandUse,Year,SampleDate,SumPyrethroid_ToxicUnits
304SOK,Urban,64.87828426,2010,7/2/10,0.131007752
515SACKNK,Agriculture,6.146661143,2013,8/21/13,0.130232558
310ARG,Urban,48.12992126,2010,6/22/10,0.129457364
312SMA,Open,5.093615537,2010,8/18/10,0.129457364
535MER007,Agriculture,2.320872274,2013,7/10/13,0.129457364
310SLB,Open,10.75837743,2008,6/11/08,0.128682171
520CBDKLU,Agriculture,6.633542215,2015,8/18/15,0.120930233
310SLB,Open,10.75837743,2017,6/5/17,0.119786122
207LAU020,Urban,58.03184802,2016,7/14/16,0.118604651
905SDSDQ9,Urban,83.04021878,2013,5/15/13,0.117054264
403STCBQT,Urban,63.44744295,2017,5/15/17,0.115060173
535MER007,Agriculture,2.320872274,2011,9/8/11,0.113178295
315ATA,Urban,81.01692943,2010,6/21/10,0.112705079
515SACKNK,Agriculture,6.146661143,2010,8/24/10,0.111627907
558PKC005,Ag/Urban,44.41628801,2014,8/5/14,0.110852713
314SYN,Open,19.57325217,2011,7/12/11,0.109950249
541MER522,Open,5.801152384,2008,7/16/08,0.108527132
515SACKNK,Agriculture,6.146661143,2015,8/18/15,0.106976744
532AMA002,Open,8.923573735,2010,9/1/10,0.106467662
510LSAC08,Agriculture,9.975304286,2010,8/25/10,0.10620155
558PKC005,Ag/Urban,44.41628801,2009,6/5/09,0.105426357
504BCHROS,Urban,85.93501477,2012,7/10/12,0.104651163
603BSP002,Urban,34.55314374,2010,10/6/10,0.102613676
558TUR090,Agriculture,2.271640363,2013,8/6/13,0.100775194
519AMNDVY,Urban,72.98571627,2010,8/25/10,0.098449612
519AMNDVY,Urban,72.98571627,2014,8/27/14,0.097674419
902SSMR07,Urban,36.94471982,2011,5/24/11,0.097674419
603BSP002,Urban,34.55314374,2017,9/7/17,0.09042224
635TRKSED,Open,2.485336515,2010,10/6/10,0.089054726
519BERBRY,Agriculture,12.11260516,2014,8/26/14,0.088372093
541SJC501,Agriculture,6.419400856,2012,9/6/12,0.088372093
532AMA002,Open,8.923573735,2016,7/27/16,0.086046512
535MER546,Agriculture,4.781885264,2016,8/17/16,0.086046512
723NROTWM,Agriculture,5.323325137,2009,10/19/09,0.085885167
314SYN,Open,19.57325217,2017,7/10/17,0.084856936
304SOK,Urban,64.87828426,2014,6/18/14,0.082945736
541SJC501,Agriculture,6.419400856,2014,9/3/14,0.082945736
723ARGRB1,Open,5.232759616,2009,10/19/09,0.081578947
633WCRSED,Open,7.322814607,2008,9/22/08,0.081395349
114RRDSDM,Open,9.421399953,2011,10/12/11,0.08079602
511CAC113,Agriculture,11.49705464,2014,8/26/14,0.079844961
519AMNDVY,Urban,72.98571627,2016,7/27/16,0.079844961
519FTRNCS,Agriculture,5.812979763,2012,8/29/12,0.079069767
723NROTWM,Agriculture,5.323325137,2011,10/11/11,0.078610586
304SOK,Urban,64.87828426,2015,6/9/15,0.078294574
635TROSED,Urban,25.46702477,2010,10/5/10,0.078247136
504BCHROS,Urban,85.93501477,2008,6/30/08,0.07751938
541SJC501,Agriculture,6.419400856,2008,7/16/08,0.07751938
603BSP002,Urban,34.55314374,2013,10/9/13,0.077364341
519FTRNCS,Agriculture,5.812979763,2015,8/17/15,0.075193798
504BCHROS,Urban,85.93501477,2010,8/18/10,0.071937984
551LKI040,Agriculture,15.54689963,2016,7/13/16,0.071162791
315ATA,Urban,81.01692943,2015,5/26/15,0.070387597
541SJC501,Agriculture,6.419400856,2013,9/4/13,0.069767442
532AMA002,Open,8.923573735,2014,9/3/14,0.066666667
535STC501,Agriculture,6.059115503,2010,7/8/10,0.065736434
207KIR020,Urban,81.68425055,2012,6/12/12,0.065348837
903SLRRBB,Urban,66.00203459,2013,7/11/13,0.064496124
114LAGWOH,Open,8.391010504,2013,9/26/13,0.064031008
307CML,Urban,28.05874008,2017,6/13/17,0.064001619
535MER546,Agriculture,4.781885264,2014,7/9/14,0.063178295
603BSP002,Urban,34.55314374,2011,10/26/11,0.062945736
535STC504,Agriculture,4.531046907,2010,9/1/10,0.061782946
603BSP002,Urban,34.55314374,2016,9/13/16,0.061007752
310ARG,Urban,48.12992126,2014,6/4/14,0.060232558
558TUR090,Agriculture,2.271640363,2014,8/5/14,0.059612403
403STCEST,Urban,61.28938369,2014,6/3/14,0.059534884
902SSMR07,Urban,36.94471982,2010,5/24/10,0.058992248
535MER546,Agriculture,4.781885264,2013,7/10/13,0.058837209
535STC504,Agriculture,4.531046907,2013,7/10/13,0.058449612
310SLB,Open,10.75837743,2013,5/30/13,0.057906977
544SAC002,Agriculture,0.782918149,2016,7/27/16,0.057829457
558CCR010,Agriculture,2.089732339,2011,8/11/11,0.057054264
535MER546,Agriculture,4.781885264,2011,9/8/11,0.056899225
558CCR010,Agriculture,2.089732339,2013,8/6/13,0.056124031
719CVSCOT,Open,6.904142485,2016,10/26/16,0.055736434
206SON010,Open,16.96743193,2011,7/7/11,0.055348837
628DEPSED,Open,0.264474214,2010,8/12/10,0.05496124
519BERBRY,Agriculture,12.11260516,2013,8/4/13,0.054263566
310SLB,Open,10.75837743,2011,6/21/11,0.052868217
544SAC002,Agriculture,0.782918149,2013,9/4/13,0.052713178
114LAGWOH,Open,8.391010504,2010,10/21/10,0.052325581
723NROTWM,Agriculture,5.323325137,2017,10/4/17,0.049627643
510LSAC08,Agriculture,9.975304286,2013,8/22/13,0.049612403
408CGCS06,Urban,37.11047055,2009,6/24/09,0.048086124
802SJCREF,Open,3.540387771,2011,5/25/11,0.047209302
515YBAMVL,Urban,46.41357443,2016,7/28/16,0.047042694
510LSAC08,Agriculture,9.975304286,2015,7/15/15,0.046589147
603BSP002,Urban,34.55314374,2014,10/8/14,0.045813953
314SYN,Open,19.57325217,2014,6/25/14,0.045736434
520BUTPAS,Agriculture,2.438297167,2017,8/2/17,0.045531151
558CCR010,Agriculture,2.089732339,2014,8/5/14,0.045503876
402VRB0xx,Urban,25.815,2010,5/27/10,0.044806202
315ATA,Urban,81.01692943,2011,6/10/11,0.044728682
305THU,Ag/Urban,29.94189118,2017,6/13/17,0.044665006
304SOK,Urban,64.87828426,2013,6/11/13,0.044263566
902SSMR07,Urban,36.94471982,2013,5/15/13,0.04379845
541SJC501,Agriculture,6.419400856,2011,9/8/11,0.043643411
403STCSSP,Open,13.01702376,2010,5/26/10,0.043399283
551LKI040,Agriculture,15.54689963,2011,8/11/11,0.042403101
558TUR090,Agriculture,2.271640363,2010,9/23/10,0.042325581
520BUTPAS,Agriculture,2.438297167,2014,7/23/14,0.041860465
520SACLSA,Open,23.03994083,2016,7/28/16,0.040852713
310SLB,Open,10.75837743,2010,6/21/10,0.040620155
535STC504,Agriculture,4.531046907,2014,7/9/14,0.040620155
206SON010,Open,16.96743193,2010,6/29/10,0.038914729
504SACHMN,Agriculture,4.504586323,2014,7/22/14,0.03875969
511CAC113,Agriculture,11.49705464,2010,8/24/10,0.038527132
114LAGWOH,Open,8.391010504,2012,9/25/12,0.038062016
511CAC113,Agriculture,11.49705464,2013,8/22/13,0.037984496
535MER007,Agriculture,2.320872274,2010,9/1/10,0.03751938
